triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'BORN_ON', '10/01/1989');True;[('María Payá Acevedo', 'BORN_ON', '1989'), ('María Payá Acevedo', 'BORN_ON', '1989')];True;[('María Payá Acevedo', 'BORN_IN', '1989'), ('María Payá Acevedo', 'BORN_ON', '1989'), ('María Payá Acevedo', 'BORN_IN', '1989'), ('María Payá Acevedo', 'BORN_ON', '1989')]
('Rosa María Payá Acevedo', 'BORN_IN', 'Havana');True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'BORN_IN', 'Havana')];True;[('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'BORN_IN', '1989'), ('María Payá Acevedo', 'subject', 'People from Havana'), ('María Payá Acevedo', 'BORN_IN', '1989'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'People from Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba')]
('Rosa María Payá Acevedo', 'HAS_NATIONALITY', 'Havana');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'birthPlace', 'Havana'), ('María Payá Acevedo', 'subject', 'People from Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'People from Havana'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba')]
('Rosa María Payá Acevedo', 'HAS_OCCUPATION', 'Activist');True;[('María Payá Acevedo', 'HAS_OCCUPATION', 'Human rights activist')];True;[('María Payá Acevedo', 'HAS_OCCUPATION', 'Human rights activist'), ('María Payá Acevedo', 'knownFor', 'Human rights activist'), ('María Payá Acevedo', 'subject', 'Cuban human rights activists'), ('María Payá Acevedo', 'subject', 'Women human rights activists'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban human rights activists'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Women human rights activists')]
('Oswaldo Payá', 'HAS_OCCUPATION', 'Activist');False;;True;[('Oswaldo Payá', 'HAS_OCCUPATION', 'Varela Project, opposition to Cuban Communist Party'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Engineer'), ('Oswaldo Payá', 'occupation', 'Engineer'), ('Oswaldo Payá', 'type', 'WikicatCubanActivists'), ('Oswaldo Payá', 'type', 'WikicatCubanDemocracyActivists'), ('Oswaldo Payá', 'type', 'WikicatCubanHumanRightsActivists'), ('Oswaldo Payá', 'subject', 'Cuban democracy activists'), ('Oswaldo Payá', 'subject', 'Cuban human rights activists'), ('Oswaldo Payá', 'subject', 'Cuban anti-abortion activists'), ('Oswaldo Payá', 'wikiPageWikiLink', 'Cuban democracy activists'), ('Oswaldo Payá', 'wikiPageWikiLink', 'Cuban human rights activists'), ('Oswaldo Payá', 'wikiPageWikiLink', 'Cuban anti-abortion activists'), ('Oswaldo Payá', 'hypernym', 'Activist'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Varela Project'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Cuban Communist Party'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'Oswaldo Payá  PersonFunction  1'), ('Oswaldo Payá', 'occupation', 'Oswaldo Payá  PersonFunction  1')]
('Rosa María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá');True;[('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá')];True;[('María Payá Acevedo', 'HAS_PARENT', 'Ofelia Acevedo de Payá'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá')]
('Oswaldo Payá', 'DIED_ON', '22/07/2012');True;[('Oswaldo Payá', 'DIED_ON', '2012'), ('Oswaldo Payá', 'DIED_ON', '2012')];True;[('Oswaldo Payá', 'OCCURRED_IN', '2012'), ('Oswaldo Payá', 'DIED_IN', '2012'), ('Oswaldo Payá', 'DIED_ON', '2012'), ('Oswaldo Payá', 'DIED_IN', '2012'), ('Oswaldo Payá', 'DIED_ON', '2012')]
('Rosa María Payá Acevedo', 'RESIDES_IN', 'Miami');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Miami')]
('The Yser Testament', 'ADDRESSED_TO', 'Albert I');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'Albert I of Belgium')]
('Albert I', 'PARTICIPATED_IN', 'World War I');False;;False;
('The Yser Testament', 'DENOUNCES', 'Frontbeweging');False;;False;
('Frontbeweging', 'CONCERNED_WITH', 'Flemish Movement');False;;False;
('Armand De Ceuninck', 'HAS_OCCUPATION', 'Minister of War');False;;True;[('Armand De Ceuninck', 'hypernym', 'Minister')]
