triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'CHILD', 'Oswaldo Payá');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá')]
('Oswaldo Payá', 'HEAD', 'Christian Liberation Movement');False;;True;[('Oswaldo Payá', 'wikiPageWikiLink', 'Christian Liberation Movement'), ('Oswaldo Payá', 'organization', 'Christian Liberation Movement')]
('Oswaldo Payá', 'DIED_BY', 'Ángel Carromero');False;;True;[('Oswaldo Payá', 'wikiPageWikiLink', 'Ángel Carromero Barrios')]
('Rosa María Payá Acevedo', 'RESIDENCE', 'Miami');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Miami')]
('Rosa María Payá Acevedo', 'FREQUENT_TRAVEL', 'Cuba');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'birthPlace', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'birthPlace', 'Cuba'), ('María Payá Acevedo', 'subject', 'Cuban human rights activists'), ('María Payá Acevedo', 'subject', 'Cuban dissidents'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban human rights activists'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuba'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban Revolution'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban dissidents'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban government')]
('Rosa María Payá Acevedo', 'ACTIVISM', 'Christian Liberation Movement');False;;True;[('María Payá Acevedo', 'wikiPageWikiLink', 'Christian Liberation Movement')]
('Rosa María Payá Acevedo', 'BIRTH_PLACE', 'Cuba');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'birthPlace', 'Cuba'), ('María Payá Acevedo', 'BORN_IN', 'Cuba'), ('María Payá Acevedo', 'birthPlace', 'Cuba'), ('María Payá Acevedo', 'subject', 'Cuban human rights activists'), ('María Payá Acevedo', 'subject', 'Cuban dissidents'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban human rights activists'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuba'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban Revolution'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban dissidents'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Havana, Cuba'), ('María Payá Acevedo', 'wikiPageWikiLink', 'Cuban government')]
('Yser Testament', 'ADDRESSED_TO', 'King Albert I');False;;False;
('Yser Testament', 'CONTEXT', 'World War I');False;;True;[('Yser Testament', 'subject', 'Belgium in World War I'), ('Yser Testament', 'wikiPageWikiLink', 'Belgium in World War I'), ('Yser Testament', 'wikiPageWikiLink', 'German occupation of Belgium during World War I'), ('Yser Testament', 'wikiPageWikiLink', 'http://dbpedia.org/resource/World War I')]
('Yser Testament', 'RELATED_TO', 'Flemish Movement');False;;True;[('Yser Testament', 'subject', 'Flemish Movement'), ('Yser Testament', 'wikiPageWikiLink', 'Flemish Movement'), ('Yser Testament', 'wikiPageWikiLink', 'http://dbpedia.org/resource/Flemish Movement')]
('Yser Testament', 'ACTION_OF', 'Frontbeweging');False;;False;
('Yser Testament', 'DEMANDED_AUTONOMY_FOR', 'Flanders');False;;False;
('Yser Testament', 'GRIEVANCES_AGAINST', 'Belgian Army');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'http://dbpedia.org/resource/Belgian Army')]
('Yser Testament', 'DEFENDED', 'Flamenpolitik');False;;True;[('Yser Testament', 'wikiPageWikiLink', 'Flamenpolitik')]
('Armand De Ceuninck', 'APPOINTED_TO', 'Minister Of War');False;;True;[('Armand De Ceuninck', 'hypernym', 'Minister')]
('Clifton Hurburgh', 'PLAYED_FOR', 'Tasmania');False;;True;[('Clifton Hurburgh', 'DIED_IN', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'deathPlace', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'BORN_IN', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'birthPlace', 'Hobart, Tasmania, Australia'), ('Clifton Hurburgh', 'BORN_IN', 'http://dbpedia.org/resource/Tasmania'), ('Clifton Hurburgh', 'birthPlace', 'http://dbpedia.org/resource/Tasmania'), ('Clifton Hurburgh', 'DIED_IN', 'Tasmania'), ('Clifton Hurburgh', 'deathPlace', 'Tasmania'), ('Clifton Hurburgh', 'subject', 'Tasmania cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'List of Tasmanian representative cricketers'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania cricket team'), ('Clifton Hurburgh', 'wikiPageWikiLink', 'Tasmania cricketers'), ('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team'), ('Clifton Hurburgh', 'club', 'Tasmania cricket team')]
