triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'BORN_ON', '22/07/2012');False;;True;[('María Payá Acevedo', 'BORN_ON', '10/01/1989')]
('Rosa María Payá Acevedo', 'HAS_ORGANIZATION', 'Miami');False;;False;
('Rosa María Payá Acevedo', 'LIVES_IN', 'Miami');False;;False;
('Rosa María Payá Acevedo', 'PARTICIPATES_IN', 'Cuba');False;;True;[('María Payá Acevedo', 'HAS_NATIONALITY', 'Cuba'), ('María Payá Acevedo', 'country of citizenship', 'Cuba'), ('María Payá Acevedo', 'description', 'Cuban activist')]
('The Yser Testament', 'ADDRESSED_TO', 'Armand De Ceuninck');False;;False;
('Armand De Ceuninck', 'PARTICIPATED_IN', 'World War I');False;;False;
('Flemish Movement', 'HAS_EVENT', 'World War I');False;;False;
('The Yser Testament', 'OCCURS_IN', 'Yser Front');False;;False;
('Clifton Hurburgh', 'BORN_ON', '15/01/1917');True;[('Clifton Hurburgh', 'BORN_ON', '15/01/1917')];True;[('Clifton Hurburgh', 'BORN_ON', '15/01/1917')]
('Clifton Hurburgh', 'DIED_ON', '30/07/2011');True;[('Clifton Hurburgh', 'DIED_ON', '30/07/2011')];True;[('Clifton Hurburgh', 'DIED_ON', '30/07/2011')]
('Clifton Hurburgh', 'HAS_SPORT', 'Cricket');True;[('Clifton Hurburgh', 'sport', 'cricket')];True;[('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team'), ('Clifton Hurburgh', 'member of sports team', 'Tasmania cricket team'), ('Clifton Hurburgh', 'HAS_OCCUPATION', 'cricketer'), ('Clifton Hurburgh', 'occupation', 'cricketer'), ('Clifton Hurburgh', 'sport', 'cricket'), ('Clifton Hurburgh', 'description', 'Australian cricketer (1917-2011)')]
('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania');True;[('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team')];True;[('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team'), ('Clifton Hurburgh', 'member of sports team', 'Tasmania cricket team')]
('Wired for Sound', 'RELEASED_IN', '1981');False;;True;[('Wired for Sound', 'RELEASED_ON', '17/08/1981'), ('Wired for Sound', 'publication date', '17 August 1981'), ('Wired for Sound', 'RELEASED_ON', '11/09/1981'), ('Wired for Sound', 'publication date', '11 September 1981')]
('Wired for Sound', 'HAS_ARTIST', 'Cliff Richard');False;;True;"[('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PART_OF', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'part of', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'description', 'album by Cliff Richard')]"
('Wired for Sound', 'FEATURED_IN', 'Wired for Sound');False;;True;[('Wired for Sound', 'PART_OF', 'Wired for Sound'), ('Wired for Sound', 'part of', 'Wired for Sound'), ('Wired for Sound', 'label', 'Wired for Sound'), ('Wired for Sound', 'PART_OF', 'Wired for Sound'), ('Wired for Sound', 'part of', 'Wired for Sound'), ('Wired for Sound', 'label', 'Wired for Sound')]
('Wired for Sound', 'RANKED_ON', 'UK Singles Chart');False;;True;[('Wired for Sound', 'instance of', 'single'), ('Wired for Sound', 'description', 'single'), ('Wired for Sound', 'instance of', 'single'), ('Wired for Sound', 'description', 'single')]
('Wired for Sound', 'HAS_RECORD', 'EMI Records');False;;True;[('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'record label', 'EMI Records'), ('Wired for Sound', 'RELEASED_BY', 'EMI'), ('Wired for Sound', 'record label', 'EMI'), ('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'record label', 'EMI Records')]
('Milton Keynes Shopping Centre', 'LOCATED_IN', 'Wired for Sound');False;;False;
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Copenhagen');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney')]
('Pinckney Corners Cemetery', 'LOCATED_IN', 'Lewis County');False;;True;[('Pinckney Corners Cemetery', 'LOCATED_IN', 'United States'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney'), ('Pinckney Corners Cemetery', 'LOCATED_IN', 'Pinckney')]
