triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'BORN_ON', '10/01/1989');True;[('María Payá Acevedo', 'BORN_ON', '10/01/1989')];True;[('María Payá Acevedo', 'BORN_ON', '10/01/1989')]
('Rosa María Payá Acevedo', 'BORN_IN', 'Havana');True;[('María Payá Acevedo', 'BORN_IN', 'Havana')];True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'place of birth', 'Havana'), ('María Payá Acevedo', 'EDUCATED_AT', 'University of Havana'), ('María Payá Acevedo', 'educated at', 'University of Havana')]
('Rosa María Payá Acevedo', 'HAS_NATIONALITY', 'Havana');False;;True;[('María Payá Acevedo', 'BORN_IN', 'Havana'), ('María Payá Acevedo', 'place of birth', 'Havana'), ('María Payá Acevedo', 'HAS_NATIONALITY', 'Cuba'), ('María Payá Acevedo', 'EDUCATED_AT', 'University of Havana'), ('María Payá Acevedo', 'educated at', 'University of Havana')]
('Rosa María Payá Acevedo', 'HAS_OCCUPATION', 'Activist');True;[('María Payá Acevedo', 'HAS_OCCUPATION', 'human rights activist'), ('María Payá Acevedo', 'occupation', 'human rights activist')];True;[('María Payá Acevedo', 'HAS_OCCUPATION', 'human rights activist'), ('María Payá Acevedo', 'occupation', 'human rights activist'), ('María Payá Acevedo', 'description', 'Cuban activist')]
('Oswaldo Payá', 'HAS_OCCUPATION', 'Activist');True;[('Oswaldo Payá', 'HAS_OCCUPATION', 'human rights activist'), ('Oswaldo Payá', 'occupation', 'human rights activist')];True;[('Oswaldo Payá', 'description', 'Cuban activist (1952-2012)'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'politician'), ('Oswaldo Payá', 'occupation', 'politician'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'human rights activist'), ('Oswaldo Payá', 'occupation', 'human rights activist'), ('Oswaldo Payá', 'HAS_OCCUPATION', 'founder'), ('Oswaldo Payá', 'occupation', 'founder')]
('Rosa María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá');True;[('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá')];True;[('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_SURNAME', 'Payá'), ('María Payá Acevedo', 'family name', 'Payá')]
('Oswaldo Payá', 'DIED_ON', '22/07/2012');True;[('Oswaldo Payá', 'DIED_ON', '22/07/2012')];True;[('Oswaldo Payá', 'DIED_ON', '22/07/2012')]
('Rosa María Payá Acevedo', 'RESIDES_IN', 'Miami');False;;False;
('The Yser Testament', 'ADDRESSED_TO', 'Albert I');False;;False;
('Albert I', 'PARTICIPATED_IN', 'World War I');False;;False;
('The Yser Testament', 'DENOUNCES', 'Frontbeweging');False;;False;
('Frontbeweging', 'CONCERNED_WITH', 'Flemish Movement');False;;False;
('Armand De Ceuninck', 'HAS_OCCUPATION', 'Minister of War');False;;True;[('Armand De Ceuninck', 'HAS_OCCUPATION', 'politician'), ('Armand De Ceuninck', 'occupation', 'politician'), ('Armand De Ceuninck', 'HAS_OCCUPATION', 'military officer'), ('Armand De Ceuninck', 'occupation', 'military officer')]
('World War I', 'OCCURRED_IN', 'Yser Front, Belgium');False;;False;
