triple;exact_accuracy;gold_triple_exact;partial_accuracyV2;gold_triple_partialV2
('Rosa María Payá Acevedo', 'CHILD', 'Oswaldo Payá');False;;True;[('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_SURNAME', 'Payá'), ('María Payá Acevedo', 'family name', 'Payá')]
('Oswaldo Payá', 'HEAD', 'Christian Liberation Movement');False;;False;
('Oswaldo Payá', 'DIED_BY', 'Ángel Carromero');False;;False;
('Rosa María Payá Acevedo', 'RESIDENCE', 'Miami');False;;False;
('Rosa María Payá Acevedo', 'FREQUENT_TRAVEL', 'Cuba');False;;True;[('María Payá Acevedo', 'HAS_NATIONALITY', 'Cuba'), ('María Payá Acevedo', 'country of citizenship', 'Cuba'), ('María Payá Acevedo', 'description', 'Cuban activist')]
('Rosa María Payá Acevedo', 'ACTIVISM', 'Christian Liberation Movement');False;;True;[('María Payá Acevedo', 'MEMBER_OF', 'Christian Liberation Movement'), ('María Payá Acevedo', 'member of political party', 'Christian Liberation Movement')]
('Rosa María Payá Acevedo', 'BIRTH_PLACE', 'Cuba');False;;True;[('María Payá Acevedo', 'HAS_NATIONALITY', 'Cuba'), ('María Payá Acevedo', 'country of citizenship', 'Cuba'), ('María Payá Acevedo', 'description', 'Cuban activist')]
('Yser Testament', 'ADDRESSED_TO', 'King Albert I');False;;False;
('Yser Testament', 'CONTEXT', 'World War I');False;;True;[('Yser Testament', 'description', 'Open letter during World War I')]
('Yser Testament', 'RELATED_TO', 'Flemish Movement');False;;False;
('Yser Testament', 'ACTION_OF', 'Frontbeweging');False;;False;
('Yser Testament', 'DEMANDED_AUTONOMY_FOR', 'Flanders');False;;False;
('Yser Testament', 'GRIEVANCES_AGAINST', 'Belgian Army');False;;False;
('Yser Testament', 'DEFENDED', 'Flamenpolitik');False;;False;
('Armand De Ceuninck', 'APPOINTED_TO', 'Minister Of War');False;;False;
('Clifton Hurburgh', 'PLAYED_FOR', 'Tasmania');False;;True;[('Clifton Hurburgh', 'PLAYS_FOR', 'Tasmania cricket team'), ('Clifton Hurburgh', 'member of sports team', 'Tasmania cricket team')]
('Wired For Sound', 'RECORDED_BY', 'Cliff Richard');False;;True;"[('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PART_OF', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'part of', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'description', 'album by Cliff Richard')]"
('Wired For Sound', 'LEAD_SINGLE_FOR_ALBUM', 'Cliff Richard');False;;True;"[('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PERFORMED_BY', 'Cliff Richard'), ('Wired for Sound', 'performer', 'Cliff Richard'), ('Wired for Sound', 'PART_OF', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'part of', ""Cliff Richard's albums in chronological order""), ('Wired for Sound', 'description', 'album by Cliff Richard')]"
('Wired For Sound', 'REACHED_POSITION', 'Uk Singles Chart');False;;True;[('Wired for Sound', 'instance of', 'single'), ('Wired for Sound', 'description', 'single'), ('Wired for Sound', 'instance of', 'single'), ('Wired for Sound', 'description', 'single')]
('Wired For Sound', 'CERTIFIED_BY', 'Bpi');False;;False;
('Wired For Sound', 'REACHED_POSITION', 'Australia');False;;False;
('Wired For Sound', 'REACHED_POSITION', 'South Africa');False;;False;
('Wired For Sound', 'WRITTEN_BY', 'Alan Tarney');False;;False;
('Wired For Sound', 'WRITTEN_BY', 'B.A. Robertson');False;;False;
('Wired For Sound', 'MUSIC_VIDEO_FILMED_AT', 'Milton Keynes Shopping Centre');False;;False;
('Wired For Sound', 'RELEASED_BY', 'Emi Records');True;[('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'RELEASED_BY', 'EMI'), ('Wired for Sound', 'RELEASED_BY', 'EMI Records')];True;[('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'record label', 'EMI Records'), ('Wired for Sound', 'RELEASED_BY', 'EMI'), ('Wired for Sound', 'record label', 'EMI'), ('Wired for Sound', 'RELEASED_BY', 'Blast First'), ('Wired for Sound', 'RELEASED_BY', 'EMI Records'), ('Wired for Sound', 'record label', 'EMI Records')]
('Pinckney Corners Cemetery', 'BURIAL', 'Revolutionary War');False;;False;
('Pinckney Corners Cemetery', 'BURIAL', 'War Of 1812');False;;False;
('Oswaldo Payá', 'HEAD_OF', 'Christian Liberation Movement');False;;False;
('Rosa María Payá Acevedo', 'ACTIVIST_WORK_CONTINUATION', 'Oswaldo Payá');False;;True;[('María Payá Acevedo', 'HAS_PARENT', 'Oswaldo Payá'), ('María Payá Acevedo', 'father', 'Oswaldo Payá'), ('María Payá Acevedo', 'HAS_SURNAME', 'Payá'), ('María Payá Acevedo', 'family name', 'Payá')]
('Yser Testament', 'RELATED_TO', 'Belgian Army');False;;False;
('Yser Testament', 'PROVOKED_REACTION_FROM', 'High Command');False;;False;
('Yser Testament', 'DEFENDED_ACTIONS_OF', 'German Authorities');False;;False;
('Yser Testament', 'RELATED_TO', 'Flamenpolitik');False;;False;
('Wired For Sound', 'LEAD_SINGLE', 'Wired For Sound');False;;True;[('Wired for Sound', 'PART_OF', 'Wired for Sound'), ('Wired for Sound', 'part of', 'Wired for Sound'), ('Wired for Sound', 'label', 'Wired for Sound'), ('Wired for Sound', 'PART_OF', 'Wired for Sound'), ('Wired for Sound', 'part of', 'Wired for Sound'), ('Wired for Sound', 'label', 'Wired for Sound')]
('Wired For Sound', 'CERTIFIED', 'Bpi');False;;False;
('Pinckney Corners Cemetery', 'LISTED_IN', 'National Register Of Historic Places');False;;True;[('Pinckney Corners Cemetery', 'LISTED_ON', 'National Register of Historic Places listed place'), ('Pinckney Corners Cemetery', 'heritage designation', 'National Register of Historic Places listed place')]
('Pinckney Corners Cemetery', 'BURIAL_SITE_FOR', 'Revolutionary War');False;;False;
('Pinckney Corners Cemetery', 'BURIAL_SITE_FOR', 'War Of 1812');False;;False;
('Florence White', 'CREATED', 'White Treasures');False;;True;[('Florence White', 'HAS_SURNAME', 'White'), ('Florence White', 'family name', 'White'), ('Florence White', 'HAS_SURNAME', 'White'), ('Florence White', 'family name', 'White')]
('White Treasures', 'INCLUDED_IN', 'Women Painters Of The World');False;;False;
('Florence White', 'MEMBER_OF', 'Society Of Lady Artists');False;;False;
('Florence White', 'PARTICIPATED_IN', 'The Exhibition Of The Royal Academy Of Arts 1900');False;;True;[('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts')]
('Florence White', 'PARTICIPATED_IN', 'The Exhibition Of The Royal Academy Of Arts 1911');False;;True;[('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts'), ('Florence White', 'EDUCATED_AT', 'Royal Academy of Arts'), ('Florence White', 'educated at', 'Royal Academy of Arts')]
('Florence White', 'CREATED', 'Portrait Of Mrs. Bowater Vernon');False;;True;[('Florence White', 'BELONGS_TO_GENRE', 'portrait'), ('Florence White', 'genre', 'portrait'), ('Florence White', 'BELONGS_TO_GENRE', 'portrait'), ('Florence White', 'genre', 'portrait')]
('Jake Fenlason', 'MEMBER_OF', 'Akron Zips');False;;True;"[('Jake Fenlason', 'PLAYS_FOR', ""Akron Zips men's soccer""), ('Jake Fenlason', 'member of sports team', ""Akron Zips men's soccer"")]"
('Jake Fenlason', 'MEMBER_OF', 'Orlando City B');False;;False;
('Jake Fenlason', 'MEMBER_OF', 'Saint Louis Fc');False;;True;[('Jake Fenlason', 'PLAYS_FOR', 'Saint Louis FC'), ('Jake Fenlason', 'member of sports team', 'Saint Louis FC')]
('Jake Fenlason', 'MEMBER_OF', 'San Diego Loyal Sc');False;;True;[('Jake Fenlason', 'BORN_IN', 'San Diego'), ('Jake Fenlason', 'place of birth', 'San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'member of sports team', 'San Diego Loyal SC')]
('Jake Fenlason', 'PARTICIPATED_IN', 'Usl Championship');False;;True;[('Jake Fenlason', 'league or competition', 'USL Championship')]
('Jake Fenlason', 'BIRTHPLACE', 'San Diego');False;;True;[('Jake Fenlason', 'BORN_IN', 'San Diego'), ('Jake Fenlason', 'place of birth', 'San Diego'), ('Jake Fenlason', 'PLAYS_FOR', 'San Diego Loyal SC'), ('Jake Fenlason', 'member of sports team', 'San Diego Loyal SC')]
('Jonathan Rosand', 'PROFESSOR', 'Harvard Medical School');False;;False;
('Jonathan Rosand', 'CHIEF', 'Massachusetts General Hospital');False;;False;
('Jonathan Rosand', 'MEDICAL_DIRECTOR', 'Massachusetts General Hospital');False;;False;
('Jonathan Rosand', 'HOLDS_CHAIR', 'Massachusetts General Hospital');False;;False;
('Jonathan Rosand', 'INDEPENDENT_FACULTY', 'Massachusetts General Hospital');False;;False;
('Jonathan Rosand', 'ASSOCIATE_MEMBER', 'Broad Institute Of Mit And Harvard');False;;False;
('Jonathan Rosand', 'FOUNDER', 'International Stroke Genetics Consortium');False;;False;
('Jonathan Rosand', 'STEERING_COMMITTEE_CHAIR', 'International Stroke Genetics Consortium');False;;False;
('William Norman Herbert', 'COLONEL', 'Northumberland Fusiliers');False;;False;
('William Norman Herbert', 'COMMANDER', '23Rd (Northumbrian) Division');False;;False;
('23Rd (Northumbrian) Division', 'PARTICIPATED_IN', 'Battle Of France');False;;False;
('William Norman Herbert', 'PARTICIPANT', 'Second World War');False;;True;[('William Norman Herbert', 'conflict', 'Second World War')]
('William Norman Herbert', 'RECIPIENT', 'Order Of The Bath');False;;True;[('William Norman Herbert', 'WON_AWARD', 'Companion of the Order of St Michael and St George'), ('William Norman Herbert', 'award received', 'Companion of the Order of St Michael and St George')]
('William Norman Herbert', 'RECIPIENT', 'Order Of St Michael And St George');False;;True;[('William Norman Herbert', 'WON_AWARD', 'Companion of the Order of St Michael and St George'), ('William Norman Herbert', 'award received', 'Companion of the Order of St Michael and St George')]
('William Norman Herbert', 'RECIPIENT', 'Distinguished Service Order');False;;True;[('William Norman Herbert', 'WON_AWARD', 'Distinguished Service Order'), ('William Norman Herbert', 'award received', 'Distinguished Service Order')]
('William Norman Herbert', 'GRADUATE', 'Staff College, Camberley');False;;True;[('William Norman Herbert', 'EDUCATED_AT', 'Staff College, Camberley'), ('William Norman Herbert', 'educated at', 'Staff College, Camberley')]
('William Norman Herbert', 'GRADUATE', 'Royal Military College, Sandhurst');False;;False;
('William Norman Herbert', 'PARTICIPANT', 'Second Boer War');False;;False;
('Japan Academy Film Prize', 'AWARDED_BEST_FILMS_OF', '2015');False;;False;
('Japan Academy Film Prize', 'TOOK_PLACE_ON', 'March 4, 2016');False;;False;
('Japan Academy Film Prize', 'TOOK_PLACE_AT', 'Grand Prince Hotel New Takanawa');False;;True;[('39th Japan Academy Prize', 'LOCATED_IN', 'Grand Prince Hotel Shin Takanawa'), ('39th Japan Academy Prize', 'location', 'Grand Prince Hotel Shin Takanawa')]
('Grand Prince Hotel New Takanawa', 'LOCATED_IN', 'Tokyo');False;;False;
('Tokyo', 'LOCATED_IN', 'Japan');False;;False;
('Pukhov', 'FEMININE_FORM', 'Pukhova');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Ilya Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Nikolai Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Pavel Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Roman Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Rufina Pukhova', 'HAS_SURNAME', 'Pukhova');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
('Ruslan Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Stanislav Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Timur Pukhov', 'HAS_SURNAME', 'Pukhov');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'Commons category', 'Pukhov (surname)'), ('Pukhov', 'label', 'Pukhov')]
('Zoya Pukhova', 'HAS_SURNAME', 'Pukhova');False;;True;[('Pukhov', 'different from', 'Pukhov'), ('Pukhov', 'label', 'Pukhov')]
