Class;No. ChildrenEntities
Person;17
Occupation;50
AcademicPosition;0
MilitaryRank;0
Composer;1
ComposerSociety;0
Violinist;0
Pianist;0
Professor;0
Student;0
Economist;0
Mason;0
Cricketer;0
Choreographer;0
ArtDirector;0
Bishop;1
Diocese;0
Clergyman;3
Clergy;0
Monk;0
ReligiousOrder;0
FootballPlayer;0
BicycleRacer;0
MotorcycleRacer;0
Director;0
Actor;0
Writer;0
Psychologist;0
Lecturer;0
BusinessExecutive;0
Diplomat;0
Politician;0
Athlete;4
NationalTeam;0
AthleticsCompetition;0
Cyclist;0
Footballer;0
Governor;0
Profession;0
Meteorologist;0
Translator;0
Historian;0
Criminal;2
FraudType;0
FraudAction;0
Artist;2
Painter;0
Photographer;0
Playwright;0
Singer;0
Musician;0
Coach;0
CameraOperator;0
Chef;0
Scholar;0
PublicServant;0
Archaeologist;0
Businessman;0
RugbyPlayer;1
RugbyUnionCompetition;0
Educator;0
PoliceOfficer;0
Librarian;0
Indologist;0
Gymnast;0
Soldier;0
Nationality;0
Surname;1
SurnameOrigin;0
Gender;0
Author;0
Architect;0
Scientist;0
Sociologist;0
Actress;0
MusicArtist;0
MilitaryPersonnel;0
Pioneer;0
Striker;0
Captain;0
EsportsPlayer;0
PoliticalFigure;0
Philanthropist;0
Location;26
Cemetery;0
HistoricPlace;0
Building;6
HistoricBuilding;0
ReligiousBuilding;3
BuddhistTemple;0
Synagogue;0
Temple;0
Hospital;0
Library;0
Stadium;0
Structure;0
Island;1
IslandGroup;0
Locality;15
City;1
CityCouncil;1
CommunityCouncil;0
Country;1
CountryEconomy;0
Region;0
Province;0
Village;0
District;1
PoliticalDistrict;0
Neighborhood;0
Townland;0
CivilParish;0
County;0
Area;0
Municipality;1
MunicipalCorporation;0
AdministrativeDivision;0
CityDistrict;0
Town;0
River;3
Stream;0
Confluence;0
Watercourse;0
Resort;0
HistoricHouse;0
Fort;0
Church;0
Prison;0
HistoricalBuilding;0
Monastery;0
Glacier;0
Trail;0
ProtectedArea;2
NationalPark;0
ProtectedMonument;0
HeritageSite;0
BodyOfWater;3
Lake;0
Bay;0
Lagoon;0
Infrastructure;1
TransportInfrastructure;0
TelecommunicationInfrastructure;0
Road;0
RecreationArea;0
Bridge;0
Airport;0
ArchaeologicalSite;0
GeologicalSite;0
GeologicalFeature;0
Event;17
Festival;2
FilmFestival;0
MusicFestival;0
Competition;4
SportsCompetition;0
BasketballPosition;0
Championship;0
Contest;0
Conflict;0
SportsEvent;7
SportsLeague;0
SportsTeam;0
SportTeam;0
SportMatch;1
Match;0
RugbyTeam;0
TennisTournament;0
TennisClub;0
Conference;0
Election;3
Referendum;0
Voter;0
ElectoralDistrict;0
WorldWar;0
TerroristAttack;0
Casualty;0
Exhibition;0
MilitaryGovernment;0
Protest;0
War;0
SportsTournament;0
Parade;0
Anniversary;0
CulturalEvent;0
Organization;30
University;1
ResearchInstitution;0
Academy;0
Company;14
FilmStudio;0
RecordLabel;0
ITCompany;0
Corporation;0
AdvisoryFirm;0
InvestmentBank;0
Bank;1
BankingService;0
Business;0
NewsChannel;0
ConstructionCompany;0
ProductionCompany;0
CompanyIndustry;0
RecordingLabel;0
RecordingStudio;0
Group;4
Fraternity;0
Band;0
Family;0
Dynasty;0
GovernmentBody;5
GovernmentAgency;0
Government;1
Cabinet;0
LegislativeBody;1
LegislativeAssembly;0
MilitaryBranch;0
MilitaryOfficer;0
Enterprise;0
Regulator;0
QualityManagement;0
VolleyballTeam;0
FootballClub;0
CricketTeam;0
Team;0
MusicBand;1
MusicGroup;0
AcademicInstitution;1
EducationalInstitution;4
School;0
UniversitySportsTeam;0
SchoolNetwork;0
HighSchool;0
Media;3
TelevisionChannel;0
BroadcastNetwork;0
TelevisionNetwork;0
Institution;0
ResearchInstitute;4
Researcher;0
ResearchFacility;0
Research;0
ResearchNetwork;0
PoliticalOrganization;0
AdvisoryCouncil;0
ScientificCouncil;0
Fellowship;0
Assembly;0
GovernmentPosition;0
CulturalOrganization;0
ReligiousOrganization;0
CharitableOrganization;0
MusicPublishingGroup;0
MusicVenue;0
Magazine;0
Publisher;0
Document;18
Publication;4
Book;0
BookSeries;0
Journal;0
AcademicJournal;0
Technology;4
Software;0
Computer;0
ProgrammingLanguage;0
ProgrammingTool;0
MemoryType;0
PoliticalPosition;0
Prize;0
MusicPiece;0
ProductionConcept;0
SportsGround;0
TelevisionEpisode;0
TelevisionSeries;0
MusicAlbum;1
Album;0
RadioStation;0
Format;0
Process;0
Memorial;0
LegalCase;3
CourtCase;0
Trial;0
Court;0
Literature;1
LiteraryWork;3
Manuscript;0
Novel;0
LiteraryCharacter;0
Documentary;1
DocumentaryFilm;0
Artwork;13
Song;3
MusicRecording;0
Songwriter;0
MusicVideo;0
Film;4
Musical;0
FilmGenre;0
FilmEditor;0
Cinema;0
Craft;0
ArtisticWork;0
ArtisticGenre;0
ArtPeriod;0
ArtMovement;1
ArtisticMovement;0
Theater;0
Theatre;0
ArtisticDiscipline;0
ArtGallery;0
ArtStyle;0
Dance;1
ArtForm;0
Sport;3
CricketMatchType;0
RugbyMatchType;0
FootballMatchType;0
Other;136
Award;0
Chemical;3
ChemicalCompound;0
ChemicalFormula;0
Adhesive;0
Date;0
Language;0
Highway;0
Racer;0
ArchitectureStyle;1
ArchitecturalStyle;0
ConstructionStyle;0
MilitaryRole;0
OnlineCommunity;0
Season;1
SportsSeason;0
MythologicalCharacter;2
Character;0
MythologicalFigure;0
CulturalHeritage;0
AnimalBreed;0
Archipelago;0
Union;0
Order;0
Council;0
NaturePark;0
HistoricalStructure;0
ReligiousSite;3
ReligiousIcon;0
ReligiousTitle;0
ReligiousDevotion;0
