Class;No. ChildrenEntities
Person;14
Activist;0
MilitaryPersonnel;0
Author;0
Academic;0
ProfessionalAthlete;3
RugbyPlayer;0
Cricketer;0
Footballer;1
FootballPlayer;0
Artist;3
Musician;4
MusicGroup;0
MusicProducer;0
Song;0
MusicAlbum;1
MusicalAlbum;0
Painter;0
Sculptor;0
Photographer;0
Scientist;0
Naturalist;0
Scholar;0
PoliticalFigure;1
PoliticalCandidate;0
TelevisionPersonality;0
Businessman;0
Philanthropist;0
Event;7
FilmPrize;0
HistoricalEvent;0
PoliticalMovement;0
Festival;0
TelevisionSeries;1
TelevisionShow;0
TelevisionEpisode;0
Play;0
Tournament;0
Location;15
Building;4
Church;0
Hospital;0
Memorial;0
Cemetery;0
City;0
Country;0
Village;0
Settlement;4
Townland;0
CivilParish;0
Neighborhood;0
Town;0
NatureReserve;0
Geopark;0
Park;0
Mountain;1
Glacier;0
River;0
District;0
AdministrativeDivision;0
GeologicalSite;3
HistoricPlace;0
HistoricSite;0
HistoricDistrict;0
Lake;0
Bay;0
Company;5
TourOperator;0
GovernmentAgency;0
Software;0
Firm;1
BusinessSchool;0
RecordLabel;0
WorkOfArt;5
Art;2
Style;0
ArchitecturalStyle;0
Film;0
Book;0
Album;0
Artwork;0
TransportationStation;3
Airport;0
TrainStation;0
BusStation;0
Animal;5
Organism;7
Fungus;0
Moth;0
Beetle;0
Fish;0
Insect;0
Reptile;0
Bacterium;0
CattleBreed;0
Creature;0
Horse;0
Racehorse;0
Other;103
Date;0
Occupation;0
PoliticalPosition;0
Gas;0
FracturingTechnique;0
Media;0
LegalCase;0
Concept;0
SportsTeam;1
Team;0
Vehicle;0
Translation;0
PoliticalParty;0
Region;0
Project;0
MountainSpirit;0
HistoricalFigure;0
Documentary;0
FieldOfStudy;0
MilitaryRank;0
AcademicDegree;0
Industry;0
Locomotive;0
Chart;0
JazzGuitarist;0
Geologist;0
Research;0
Highway;0
BuddhistTemple;0
CulturalProperty;0
Transportation;0
Pedagogy;0
Journal;0
Season;0
FootballClub;0
InvestmentGroup;0
Coach;0
Municipality;0
Logic;0
Death;0
ResearchInstitute;0
Road;0
TouristAttraction;0
MediaProfessional;0
Temple;0
Ward;0
Disaster;0
Submarine;0
Bridge;0
Year;0
LiteraryWork;0
Music;0
Race;0
Channel;0
MilitaryVessel;0
Sugar;0
Story;0
Restaurant;0
MilitaryUnit;0
Sports;0
Theatre;0
Government;0
HealthcareSystem;0
ArtMovement;0
Title;0
Community;0
Constituency;0
Novel;0
Incident;0
Training;0
PhysicalRestraint;0
ArtisticWork;0
ArtGallery;0
CulturalInstitute;0
Association;0
Club;0
Military;0
Diplomat;0
Saint;0
Bishop;0
Fraud;0
Locality;0
Abbreviation;0
Document;0
Toxin;0
Inhibitor;0
Protein;0
Hazard;0
Ship;0
Fort;0
Canton;0
Character;0
ArtForm;0
Sculpture;0
VideoGame;0
Service;0
Yacht;0
Budget;0
Train;0
ArchitectureStyle;0
Material;0
Commune;0
Climate;0
