Class;No. ChildrenEntities
Person;7
Occupation;61
Author;0
Judge;0
Anthropologist;0
BasketballPlayer;0
RugbyPlayer;0
Cricketer;0
Footballer;0
MusicProducer;0
Cyclist;0
Athlete;0
Poet;0
Writer;0
Playwright;0
Translator;0
Commander;0
Monk;0
Principal;0
Photographer;0
Director;0
Historian;0
Geologist;0
Lawyer;0
Banker;0
Businessman;0
Politician;0
Manager;0
Architect;0
Musician;0
Singer;0
HeadCoach;0
Officer;0
Criminal;0
Diplomat;0
FootballPlayer;0
Naturalist;0
BiblicalFigure;0
PublicServant;0
Chef;0
Critic;0
Philatelist;0
Painter;0
MusicIndustryExecutive;0
Actor;0
Composer;0
Songwriter;0
Choreographer;0
SingerSongwriter;0
Producer;0
Designer;0
Indologist;0
BusinessEducator;0
PoliceOfficer;0
Teacher;0
Student;0
Coach;0
Gymnast;0
Soldier;0
Editor;0
Archaeologist;0
Librarian;0
ArmyOfficer;0
Surname;0
Nationality;0
Parent;0
Descent;0
Queen;0
Count;0
Location;31
Cemetery;0
Building;3
House;0
Bridge;0
Dam;0
Tunnel;0
Fort;0
Region;16
Continent;0
Country;0
State;0
City;0
District;0
Prefecture;0
Governorate;0
Village;0
Constituency;0
Settlement;0
Neighborhood;0
Townland;0
CivilParish;0
County;0
FederalConstituency;0
Town;0
Park;0
Station;2
TrainStation;0
RailwayStation;0
Church;0
HistoricPlace;0
Mountain;0
GeographicalFeature;0
River;0
Trail;0
NaturePark;0
Glacier;0
Temple;0
ArchaeologicalSite;0
HeritageSite;0
RecreationArea;0
HistoricDistrict;0
GeologicalSite;0
Island;0
Zone;0
BodyOfWater;2
Bay;0
Watercourse;0
Summit;0
Hill;0
Locality;0
Area;0
TransportHub;0
Canton;0
Department;0
NatureReserve;0
LocalGovernmentArea;0
Event;24
War;0
Ceremony;0
MusicFestival;0
Festival;0
Election;0
Conference;0
Competition;0
Campaign;0
AwardNomination;0
Controversy;0
Exhibition;0
TennisTournament;0
BicycleRace;0
Race;0
Protest;0
PoliticalEvent;0
NaturalEvent;0
Battle;0
Tournament;0
Anniversary;0
SportsCompetition;0
SportEvent;0
CulturalFestival;0
MusicAward;0
Organization;24
Company;8
EnergyCompany;0
ITCompany;0
Label;0
AdvisoryFirm;0
InvestmentBank;0
Corporation;0
FinancialSponsor;0
Vendor;0
FootballClub;0
TourOperator;0
GovernmentAgency;0
Institution;10
College;0
University;0
Library;0
BusinessSchool;0
HighSchool;0
Hospital;0
School;0
ReligiousOrganization;0
Nunnery;0
Diocese;0
MusicGroup;1
Band;0
MusicBand;0
Supergroup;0
RegulatoryBody;0
SportsTeam;8
BasketballTeam;0
RugbyTeam;0
CricketTeam;0
FootballTeam;0
SportsLeague;0
Championship;0
NationalTeam;0
FootballLeague;0
Business;0
PoliticalParty;0
Union;0
Council;0
MilitaryOrganization;0
Broadcaster;0
Shipyard;0
Fraternity;0
StudentOrganization;0
InvestmentGroup;0
NonProfitOrganization;0
TradeUnion;0
Club;0
Committee;0
LaborOrganization;0
Association;0
Document;31
LegalCase;0
TelevisionEpisode;0
TelevisionSeries;0
ComicSeries;0
TVSeries;0
Song;0
Film;0
Book;2
BookSeries;0
Novel;0
Format;0
MusicAlbum;0
Album;0
RadioShow;0
Dictionary;0
Manuscript;0
Documentary;0
Policy;0
Magazine;0
GraphicNovel;0
Publication;0
Register;0
Constitution;0
Licence;0
Journal;0
Newspaper;0
Chronicle;0
Treaty;0
Contract;0
Edition;0
Text;0
Poem;0
Timeline;0
Art;32
FilmGenre;0
MusicGenre;0
ArchitectureStyle;0
Architecture;0
Artist;0
CulturalWork;0
Literature;0
Culture;0
Play;0
HistoricalStructure;0
Instrument;0
Anime;0
AnimeDirector;0
Chart;0
Role;0
Mission;0
Movement;0
MythologicalCharacter;0
Honor;0
Painting;0
ArtisticWork;0
Composition;0
Story;0
ArtForm;0
ArtMovement;0
Artwork;0
Medium;0
Style;0
ArtStyle;0
Sculpture;0
Statue;0
Monument;0
Material;13
ChemicalCompound;0
Gas;0
Rock;0
Enzyme;0
Color;0
Mineral;0
Protein;0
IonChannel;0
ProteinFamily;0
Chemical;0
ChemicalFormula;0
Adhesive;0
ToxicAgent;0
Process;11
FracturingTechnique;0
MicroscopyTechnique;0
Examination;0
Trial;0
Audition;0
Method;0
EducationalMethod;0
Technique;0
Automation;0
Navigation;0
SynthesisMethod;0
Music;8
Orchestra;0
MusicLabel;0
MusicVenue;0
MusicVideo;0
MusicPublishingGroup;0
Structure;18
Memorial;0
Prison;0
Railway;0
Highway;0
Stadium;0
Monastery;0
Museum;0
Facility;0
PowerStation;0
Pipeline;0
Infrastructure;0
Airport;0
MilitaryInstallation;0
Arena;0
Block;0
RailwayLine;0
Animal;10
Species;0
Organism;0
AnimalBreed;0
Moth;0
Beetle;0
Insect;0
Racehorse;0
Mammal;0
Human;0
Bacteria;0
Plant;5
Tree;0
Subgenus;0
Alga;0
Other;149
Date;0
Award;0
Market;0
StockExchange;0
Product;0
TimePeriod;0
MemoryType;0
Pressure;0
HeritageRegister;0
Military;0
PhylogeneticTree;0
Publisher;0
Court;0
Position;0
Dynasty;0
Artifact;0
Character;0
RadioStation;0
Service;0
Profession;0
Platform;0
Purpose;0
Fungus;0
Genus;0
Family;0
Software;0
Community;0
Frequency;0
Stream;0
Aircraft;0
Component;0
MedicalField;0
PoliticalRole;0
SkiArea;0
Submarine;0
Collection;0
Spirit;0
Folklore;0
Philosophy;0
AcademicField;0
Industry;0
Tool;0
Project;0
Locomotive;0
Crime;0
Law;0
Research;0
SportsVenue;0
RecordLabel;0
Religion;0
Deity;0
CulturalProperty;0
League;0
Transportation;0
EducationalApproach;0
Season;0
Ownership;0
Attack;0
MilitantGroup;0
Government;0
Voter;0
Army;0
Draft;0
OilField;0
TelevisionShow;0
Province;0
CivicBody;0
Mayor;0
Commissioner;0
Commune;0
Population;0
FormalScientist;0
FormalLogic;0
Dialectic;0
Accident;0
ResearchCentre;0
Road;0
PoliticalBody;0
Attraction;0
Media;0
LawEnforcement;0
EstablishmentYear;0
Period;0
Virtue;0
Betrayal;0
UnitOfMeasurement;0
Restaurant;0
FoodDeliverySystem;0
Marriage;0
Technology;0
Program;0
Budget;0
Episode;0
Climate;0
GeologicalFeature;0
Space;0
License;0
Ship;0
GivenName;0
Epic;0
SurnameMeaning;0
CulturalEntity;0
CulturalInstitute;0
Synagogue;0
ArtGallery;0
Zoo;0
Education;0
ReleaseDate;0
Match;0
Place;0
Gender;0
Year;0
Computer;0
Inhibitor;0
Disease;0
Philanthropy;0
History;0
Archaeology;0
Kingdom;0
God;0
Fraud;0
Scheme;0
Victim;0
Income;0
LandUse;0
Division;0
Ecosystem;0
Network;0
Game;0
Plate;0
Nerve;0
MedicalCondition;0
ConcentrationCamp;0
TranscriptionFactor;0
Resource;0
Hazard;0
SuicideBombing;0
Family(Biology);0
VideoGame;0
NetWorth;0
Wingspan;0
Trait;0
BiologicalActivity;0
Gene;0
Feature;0
MythologicalFigure;0
