Label;Count
Person;729
City;206
Event;225
Occupation;93
Document;5
Location;334
Organization;202
Cricketer;15
Date;234
Song;21
MusicVideo;2
Painter;5
Book;7
MilitaryPersonnel;12
MilitaryRank;7
Surname;9
FootballPlayer;64
Artist;26
Author;14
BadmintonPlayer;1
Politician;22
Building;16
Company;36
FootballClub;19
Actor;16
SportsCompetition;22
Website;8
Artwork;7
Group;3
Athlete;43
MusicAlbum;18
ChemicalCompound;7
Island;1
River;21
County;26
Librarian;1
MemoryType;1
Businessman;2
Composer;9
Violinist;1
Pianist;2
Professor;7
ComposerSociety;1
Concept;6
Industry;4
Standard;1
Enterprise;2
Regulator;2
Locality;15
Resort;2
VolleyballPlayer;1
VolleyballTeam;5
Nationality;48
Country;31
HistoricBuilding;24
Food;1
Film;22
ArtDirector;3
Stadium;11
University;47
HistoricDistrict;3
ArchitecturalStyle;2
Fort;1
TelevisionEpisode;4
Award;20
MotorcycleRacer;3
Bishop;5
Band;12
Album;9
RecordLabel;5
Highway;2
RadioStation;11
State;7
Process;1
Chemical;4
Region;16
Clergyman;3
Prison;1
TelevisionSeries;6
Village;16
District;18
Taluk;1
Constituency;4
Publication;12
Team;36
League;3
RugbyPlayer;4
RugbyTeam;5
HistoricPlace;9
SportsEvent;47
Artifact;2
Species;11
MedicalCondition;1
MedicalProcedure;6
FieldOfStudy;1
Product;8
Municipality;10
RailwayStation;6
Craft;1
Conflict;2
ComicSeries;1
NatureReserve;1
Animal;4
Plant;10
Road;8
SportsTeam;22
SportsLeague;3
SportsSeason;4
Moth;9
MusicGroup;3
Park;3
TransportInfrastructure;9
Musician;6
ReligiousBuilding;7
BicycleRacer;10
Mountain;9
Province;13
BookSeries;1
Publisher;1
Gymnast;2
Stream;5
Hospital;3
CityDistrict;3
LegalCase;1
ProteinFamily;2
Organism;1
Enzyme;3
BusinessExecutive;3
TelevisionChannel;2
FootballTeam;2
Coach;3
Conference;1
Election;7
Fungus;2
Software;3
Beetle;9
OnlineCommunity;1
Director;10
Library;3
Mandal;1
RevenueDivision;1
Ship;3
Writer;3
Playwright;4
Historian;3
Educator;3
AcademicPosition;16
MythologicalCharacter;3
Play;4
Neighborhood;7
AnimalBreed;14
IslandGroup;2
Groundskeeper;1
EducationalInstitution;3
Tree;2
FootballManager;1
Comedian;1
Technology;3
Townland;1
CivilParish;1
Diocese;4
AwardNomination;4
Exhibition;3
Temple;3
DocumentaryFilm;3
Meteorologist;1
Monk;1
Translator;2
Monastery;1
Glacier;2
Trail;1
ProtectedArea;5
Submarine;2
HighSchool;4
Photographer;3
HistoricHouse;1
TerroristAttack;1
Casualty;1
Referendum;1
MilitaryGovernment;1
HistoricalFigure;1
NationalPark;1
Town;3
TimePeriod;2
Lake;14
Architect;5
SportEvent;2
Orchid;1
FloweringPlant;2
Cycad;1
Fish;1
SeaSnail;1
AdvisoryFirm;1
ProtectedMonument;1
Locomotive;1
Dynasty;1
TennisTournament;4
Infrastructure;4
Bacterium;3
Database;1
Cyclist;2
License;3
OilField;3
MusicBand;1
AircraftList;2
BuddhistTemple;1
ReligiousIcon;1
Bridge;3
EducationalApproach;1
Journal;2
Singer;4
MunicipalCorporation;1
Airport;2
PoliticalParty;8
Scientist;3
ResearchInstitute;1
RecreationArea;1
Family;2
ReligiousOrder;1
Hill;1
AdministrativeDivision;1
Wingspan;1
ArchaeologicalSite;2
Songwriter;2
Governorate;1
School;3
Academy;1
GolfClub;1
Mineral;2
MineralGroup;1
Protein;8
FilmCritic;1
AcademicInstitution;1
LiteraryWork;1
TelevisionShow;1
UnitOfArea;2
Restaurant;1
Patent;1
MilitaryUnit;1
AdvisoryCouncil;1
ScientificCouncil;1
Fellowship;1
Course;1
Documentary;1
Department;1
Bay;2
ArtMovement;1
Actress;1
Earthquake;1
Guitarist;1
MusicBusinessEntrepreneur;1
Format;1
EsportsPlayer;1
Dam;1
PowerStation;1
RailwayDivision;1
BroadcastNetwork;1
ProductionCompany;1
GeologicalFeature;2
Aircraft;1
Genus;2
Subfamily;1
Period;1
Material;1
Feature;5
Profession;1
Newspaper;4
Commercial;1
GeologicalSite;1
Scholar;1
Shrub;2
Magazine;1
MilitaryInstallation;1
PublicServant;2
MusicVenue;1
PoliticalDistrict;1
Diplomat;3
Project;1
Racehorse;1
Memorial;1
Legislation;1
Gene;1
Star;1
EthnicGroup;1
Synagogue;1
Insect;2
ArtGallery;1
Zoo;1
Composition;1
MusicArtist;1
MedicalField;1
Chef;1
Screenwriter;2
Lyricist;1
Computer;1
Museum;1
Producer;1
BiologicalConcept;3
Disease;1
Psychologist;1
Cemetery;1
Economist;1
Mason;1
Indologist;1
NaturePark;1
LaboratoryEquipment;1
Instrument;1
NationalTeam;1
EducationalAssessment;1
Examination;1
Businesswoman;1
CameraOperator;1
Governor;1
Parade;1
Student;1
Character;1
SurnameOrigin;2
