Label;Count
Person;715
Activist;8
Date;624
Location;672
Document;6
PoliticalMovement;4
Cricketer;22
ProfessionalAthlete;207
Song;58
Artist;65
Album;25
Chart;8
RecordLabel;16
Cemetery;5
Painter;17
WorkOfArt;63
Organization;138
Footballer;66
Academic;31
Scientist;7
Position;7
MilitaryPersonnel;24
Event;741
FilmPrize;3
Author;38
PoliticalFigure;47
BadmintonPlayer;1
Other;28
Surname;13
ScientificInstrument;2
Cryogen;1
Building;84
Company;138
Product;7
StockExchange;2
Actor;5
Film;97
FootballClub;43
Tournament;36
TourOperator;1
Nationality;12
MusicGroup;12
Year;21
ChemicalCompound;13
River;33
Island;10
County;13
Concept;37
Task;1
Memory Structure;1
Neuroanatomical Structure;1
Cortical Area;1
Businessman;10
Musician;29
Award;41
Standard;1
Locality;5
City;75
Economist;1
HistoricPlace;18
Park;6
Achievement;2
Indologist;2
HistoricDistrict;7
ArchitecturalStyle;13
Fort;5
HistoricalEvent;12
TelevisionEpisode;5
Bishop;8
NationalHighway;1
RadioStation;13
FracturingTechnique;1
Gas;1
Memorial;2
Prison;1
Aqueduct;1
TelevisionSeries;12
Village;23
District;36
Taluk;1
State;7
Constituency;6
VotingSystem;2
FieldOfStudy;10
Diagram;1
Publisher;4
LiteraryWork;8
LegalCase;2
Judge;1
RugbyPlayer;11
University;13
College;1
Vehicle;3
GovernmentAgency;4
Occupation;94
Industry;5
Sculpture;5
Geologist;3
Animal;24
Spider;1
Taxonomy;2
MedicalCondition;3
SurgicalProcedure;3
Settlement;3
Cyclist;9
EducationalInstitution;14
TransportationStation;19
TrainStation;3
Material;9
GeographicalIndication;1
Highway;8
Character;22
ComicBook;1
NatureReserve;2
Tree;7
SportsTeam;23
Season;6
Educator;1
Moth;18
MusicAlbum;27
Plant;23
Species;17
Website;5
MusicProducer;2
Municipality;5
Architect;7
Constitution;2
Mountain;19
Sales;1
Novel;10
Stream;4
Hospital;1
CulturalProperty;4
Diplomat;7
NGO;1
MinorityGroup;1
Protein;8
Channel;6
TelevisionPersonality;3
Ranking;2
FilmFestival;2
Demand;1
Fungus;13
Organism;25
Genus;9
Software;14
Beetle;15
Description;15
Eremophila;1
OnlineCommunity;1
Story;3
EbookSupplier;3
