Label;Count
Person;1360
Organization;1093
Location;380
Document;12
Event;375
Movement;3
Region;31
Position;32
Policy;2
Team;40
Season;1
Song;44
Chart;7
Country;34
Place;490
Artwork;17
Book;40
Award;55
Year;20
Date;15
Surname;15
Technology;6
Sample;1
Building;36
Brand;7
Role;29
League;10
Film;70
Website;14
Group;31
Album;51
Chemical;13
Chemical structure;1
Functional group;2
Concept;277
Anatomical structure;2
Creative_work;7
Standard;1
Food;4
Musical;2
Company;16
Sports ground;1
Language;2
Architecture style;11
Episode;3
Character;19
Occupation;24
Record_label;4
Highway;5
Radio station;13
Memorial;3
Register;2
Category;7
Animal;31
Infrastructure;18
Television series;12
Television network;2
Constituency;3
Government body;5
Media;4
Competition;15
Sports_team;14
Network;7
Industry;2
Sport;11
Artifact;3
Institution;17
Species;53
Genus;20
Product;14
Settlement;2
River;16
City;9
Population;1
Military;2
Ghetto;1
State;4
Station;2
Railway;3
Literary_work;5
Comic series;1
Planet;3
Agreement;1
Plant;17
Moth;14
Band;21
Family;9
Profession;8
Film genre;1
Radio_show;1
Mountain;9
Book series;1
Publisher;2
Novella;1
Stream;7
Hospital;1
Legal case;1
Legal document;1
Government official;1
Method;2
Judicial body;1
Enzyme;3
Cellular component;1
Organism;8
Cell type;2
Television channel;1
Fungus;1
Fungus family;1
Software;13
Tribe;2
Structure;18
Community;1
Application;7
Content;1
Work;5
Status;2
Library;1
Ship;7
Play;14
Art;2
Neighborhood;1
District;5
Body of water;1
Neighbourhood;2
Television_show;5
Theater;1
University;1
Field;3
Benefit;5
Material;9
Instrument;2
Ethnicity;5
Educational_institution;6
Political_party;4
Honor;1
Documentary;2
Publication;23
Glacier;2
Stadium;2
Facility;5
Story;2
Examination;4
Trail;1
Vehicle;1
Mineral;6
Rock;1
Village;5
Administrative division;4
Lake;12
Style;1
Device;1
Activity;4
List;2
Literary work;4
Commune;46
Landform;1
Project;6
Entity;2
Registry;2
Monument;1
Locomotive;1
Dynasty;1
Painting;1
Power plant;1
Bacterium;2
Compound;31
Licence;2
Oil field;3
Title;7
Sports team;7
Sports conference;2
Sports division;1
Sports venue;3
Deity;8
Program;13
Road;3
Journal;5
Town;3
Transportation;1
Train station;6
Object;7
Ward;1
Exhibition;1
Novel;1
Archaeological site;1
School;2
Composition;2
Geographicalfeature;3
Mineral group;8
Timeperiod;2
Monosaccharide;2
Antibiotic;1
Organ;1
Artist;2
Collection;4
Literature;1
Television show;2
Unit of area;2
Record label;5
Military unit;11
Political faction;2
Political party;1
Art_form;1
Legal_document;2
Bay;1
Bogland;1
Municipality;1
Pumping station;1
Tv_show;4
Taxon;1
Broadcast;1
Budget;3
Series;2
Natural phenomenon;4
Spacecraft;2
Astronomical object;1
Quantity;3
Aircraft;1
Waterway;1
Record;1
Subfamily;2
Period;1
Nationality;2
Product line;1
Order;1
Belief;2
Certification;2
Treatment;2
Media company;2
Radio format;1
News program;1
Music group;13
Newspaper;4
Database;2
Field_of_study;2
Interview;2
Commercial;1
Site;1
Military installation;1
Department;2
Law;3
Protein;8
Gene;2
Star;1
Subgenus;1
Zoo;1
Province;1
Initiative;3
Disease;2
Show;1
Deposit;1
Television drama;1
Substance;1
Element;1
Strain;1
Computer;2
Data storage;1
Game;1
Administration;1
Report;1
Treaty;2
Empire;2
Religion;2
Music_group;1
Educational institution;1
Architecture;1
Sports league;1
Sports club;1
Performance;10
Watercourse;1
Racehorse;1
Church;2
Cathedral;1
Property;1
Sculpture;3
Format;1
Operating system;5
Text;1
Park;1
Audio;1
Legal_case;2
Video game;2
Platform;2
Locality;1
Federal division;1
State electoral district;1
Geological feature;2
Rank;2
Nerve;3
Medical condition;1
Transport hub;1
Rail service;1
Transport system;1
Creativework;1
Ship_class;1
Tv channel;3
Expertise;1
Poem;1
Voting system;1
Architect;1
Alga;1
Condition;1
Function;2
Magazine;1
Musicalwork;4
Bacteria;4
Creative work;2
Geographical feature;1
Narrative;2
Tv show;1
Prayer;1
Video;1
Devotion;1
Music genre;1
Feature;6
Train;7
Appliance;3
Intercommunal_structure;1
