Relationship;Count
BORN_IN;126
HAS_NATIONALITY;210
HAS_OCCUPATION;213
LIVES_IN;7
PARTICIPATES_IN;305
MEMBER_OF;128
AUTHORED;38
OCCURS_IN;99
LOCATED_IN;453
PART_OF;60
BORN_ON;154
DIED_ON;44
CREATED;46
PERFORMED;5
INCLUDED_IN;1
OCCURS_ON;18
HAS_SURNAME;36
BUILT_IN;2
OPERATES_IN;10
LISTED_ON;1
PLAYS_FOR;31
AFFILIATED_WITH;18
NAMED_AFTER;4
PRODUCES;11
STUDIED_AT;31
ASSOCIATED_WITH;5
AWARDED;18
FOUNDED;18
APPLIES_TO;3
DEFINED_IN;1
CONTEXT_OF;1
REGULATED_BY;1
ADJACENT_TO;1
OPPOSITE_OF;1
DESIGNED_BY;16
LISTED_IN;5
DIRECTED_BY;17
FEATURES;14
WORKS_IN;5
EXEMPLIFIES;2
ORDERED_BY;1
SERVED_IN;1
NOMINATED_FOR;6
CREATED_BY;13
AUTHORED_BY;12
FROM_ALBUM;1
RELEASED_BY;17
OPERATED_BY;4
OWNED_BY;8
USES;2
CONSISTS_OF;3
DEVELOPED_BY;1
LIVED_IN;4
FOUNDED_BY;7
FORMERLY;1
MENTIONED_IN;4
HAS_FATHER;1
IS_TYPE_OF;1
DISCOVERED_IN;1
BELONGS_TO;4
CAUSES;4
TREATS;1
INCLUDES;16
STUDIES;3
IS_REGISTERED_AS;1
NEAR;5
ILLUSTRATED;1
COLORED;1
PUBLISHED_BY;3
MANAGED_BY;4
ACCESSIBLE_FROM;2
DESCRIBED_BY;23
FEEDS_ON;1
MIXED_BY;4
MASTERED_AT;1
PRODUCED_BY;13
DISTRIBUTED_BY;1
BROADCAST_ON;1
DIED_IN;16
CONCERNED_WITH;1
MANAGES;2
FLOWS_THROUGH;2
FLOWS_INTO;3
FRIEND_OF;4
PLAYS_IN;1
PARTNER_WITH;3
FLOW_INTO;3
HAS_RELATIVE;1
LEADER_OF;2
ORGANIZED_BY;2
WON_BY;1
OCCURRED_IN;10
INVOLVED_IN;5
ASSIGNED_TO;1
FOUND_IN;6
IS_A;11
DESCRIBED;1
STARRED_IN;19
DESCRIBED_ON;4
ENDANGERED_IN;3
USES_TECHNOLOGY;2
NARRATED_BY;2
FEATURED_IN;11
BASED_ON;7
COACHED;1
DISCHARGES_INTO;1
CORRESPONDS_TO;1
COMPOSED_BY;3
WORKED_IN;5
TRAVELED_TO;1
COLLABORATED_WITH;7
HAS_PEAK;1
HAS_PROTECTION_LEVEL;1
SPONSORED_BY;1
ESTABLISHED_ON;5
RECEIVES;9
TRANSLATED;1
HELD_IN;1
RESIDED_IN;1
ORIGINATES_FROM;1
DRAINS_THROUGH;2
COALESCES_WITH;1
LOCATED_NEAR;1
NAMED_BY;1
PARTICIPATED_IN;3
HAS_POSITION;3
FOLLOWS;1
COMMISSIONED_BY;2
BUILT_AT;1
WORKS_AT;2
BUILT_BY;3
WRITTEN_BY;3
STARS_IN;5
FOUNDED_ON;1
HAS_MANAGER;1
CONDUCTED_BY;1
PART_OF_EVENT;8
DESCRIBED_IN;8
GOVERNED;1
LIVED_DURING;2
FOUNDED_IN;2
PARTNERED_WITH;1
PROVIDES_ADVICE_TO;4
CRITICAL_OF;1
RESIDES_IN;1
BUILT;1
MERGED_TO_FORM;1
HOLDS_POSITION;5
FEATURED_ON;3
WON;2
OCCURRED_AT;1
CONNECTS;6
CROSSES;2
OCCURRED_ON;3
INFLUENCED_BY;1
CONVERTED_TO;1
WORKS_ABOUT;1
REPLACED_BY;2
HOME_GROUND_OF;1
GOVERNS;2
UPGRADED_ON;1
WORKS_FOR;4
SERVES_AS;1
HAS_WINGSPAN;1
PERFORMED_BY;4
BASED_IN;1
REVIEWED_BY;1
CONTRACTED;1
FABRICATED_BY;1
AWARDED_BY;1
REMEMBERS;1
ESTABLISHED_IN;1
EXISTS_DURING;1
ACQUIRED_BY;1
EQUIVALENT_TO;1
PRODUCED;1
OPERATES;7
LED_BY;2
FORMED_IN;1
DISTRUSTED_BY;1
CRITICIZED_BY;2
MARRIED_IN;1
MEMORIALIZED_IN;1
TEACHES;1
FEEDS;2
RENAMED_ON;1
RECORDED_IN;1
DECLARED;1
TRANSLATED_BY;1
COMPARED_TO;1
USES_FORMAT;1
FEATURED_ACTORS;2
AIRED_ON;1
NATIVE_TO;1
ORGANIZES;3
HAS_SPOUSE;1
HAS_CHILD;1
HAS_GRANDCHILD;1
FROM_PERIOD;1
PUBLISHES;2
UPDATED_TO;2
HAS_FEATURE;5
BELONGS_TO_FAMILY;1
HAS_SPECIES;2
MARRIED_TO;3
DIVORCED_FROM;1
HOLDS;2
HAS_PROFESSION;1
INCORPORATES;3
CHILD_OF;1
PARENT_OF;1
GRANDPARENT_OF;4
CONNECTED_TO;2
FAVORED_BY;1
ADVERTISED_BY;1
COMMANDED_BY;1
LAID_DOWN_AT;1
HOSTS;1
FOCUSES_ON;1
PUBLISHED;1
PUBLISHED_IN;1
DEFINED_AS;1
MANDATED_BY;1
FEATURED_ACTOR;1
CINEMATOGRAPHY_BY;1
FILMED_IN;3
ENCODED_BY;1
DISCOVERED_BY;1
CREATED_IN;1
HAS_ANIMAL;2
ORIGINATED_IN;1
ARRIVED_IN;1
ACTED_IN;6
ABOUT;1
COMPOSED_MUSIC_FOR;3
CONCEPTUALIZED_BY;1
RELATED_TO;3
PUPIL_OF;1
REPRESENTED_BY;1
PLAYED_IN;1
DISPLAYED_AT;1
HAS_DOCUMENTATION_AT;2
INHIBITS;1
RECEIVED;2
