Relationship;Count
BORN_ON;227
HAS_ORGANIZATION;91
LIVES_IN;89
PARTICIPATES_IN;384
ADDRESSED_TO;2
PARTICIPATED_IN;28
HAS_EVENT;38
OCCURS_IN;216
DIED_ON;125
HAS_SPORT;22
PLAYS_FOR;112
RELEASED_IN;8
HAS_ARTIST;15
FEATURED_IN;22
RANKED_ON;7
HAS_RECORD;6
LOCATED_IN;336
LISTED_AS_HISTORIC;13
CREATED;156
MEMBER_OF;2
HAS_OCCUPATION;219
STUDIED_AT;50
AWARDED_IN;4
HELD_AT;40
HAS_NOTABLE_PERSON;50
USED_FOR;4
HAS_BUILDING;46
COMPLETED_IN;2
DISBANDED_IN;8
PRODUCES;21
HAS_ORIGIN;8
SOLD_IN;2
ESTABLISHED_IN;8
TRADES_ON;1
HAS_NATIONALITY;67
STARS_IN;62
HAS_LOCATION;82
IS_A_MEMBER_OF;28
HAS_TOURNAMENT;2
FOUNDED_IN;7
HAS_PARTICIPATED_IN;6
MARRIED_TO;14
HAS_MEMBER;106
RELEASED;18
ESTABLISHED;3
PRODUCED_BY;29
PRODUCED_IN;2
BORN_IN;82
HAS_TYPE;13
INVOLVES;3
OCCURS_ON;74
HAS_POSITION;30
HAS_RELATIONSHIP_WITH;14
HAS_AWARD;30
HAS_STUDENT;5
HAS_DEFINITION;1
LOCATED_NEAR;26
DIRECTED_BY;31
BASED_ON;12
DESIGNED_BY;7
HAS_DATE;22
SPECIALIZES_IN;2
AWARDED;15
HAS_HISTORY;21
HAS_ARCHITECTURAL_STYLE;21
HAS_MILITARY_STRUCTURE;4
HAS_PARTICIPANT;91
IS_PART_OF;39
FEATURES_IN;26
HAS_FAMILY_MEMBER;16
HAS_MUSIC_GROUP;3
BROADCASTS_FROM;6
HAS_FORMAT;5
USES_GAS;1
HAS_ESTABLISHMENT_DATE;13
HONORS;2
OCCURRED_IN;11
HAS_CAST;25
IS_A_TYPE_OF;193
REPRESENTED_IN;6
HAS_VOTING_SYSTEM;2
DESCRIBED_IN;33
HAS_FEATURE;25
HAS_AUTHOR;24
HAS_JUDGE;1
EDUCATED_AT;7
HAS_VEHICLE;3
HAS_RESULT;14
REGULATES;3
IS_ENDEMIC;4
HAS_GENUS;55
HAS_CAUSE;1
REQUIRES_TREATMENT;3
HAS_POPULATION;5
HAS_HISTORICAL_EVENT;13
ORGANIZED_BY;1
LOCATED_AT;8
CONNECTS;13
FLOWS_THROUGH;7
HAS_NATURAL_FEATURE;8
HAS_SPECIES;11
HAS_TREE;3
HAS_SEASON;5
FOUND_IN;13
IS_NATIVE_TO;12
HAS_WEBSITE;4
BUILT_IN;11
OPENED_ON;5
RELEASED_BY;6
DISTRIBUTED_BY;1
HAS_AIR_DATE;1
PART_OF;32
COMPETES_IN;4
LISTED_ON;3
HAS_MISSION;1
INVOLVED_IN;3
MANAGES;2
DISCHARGES_INTO;3
HAS_CATEGORY;8
HAS_PUBLISHER;2
PLAYS_IN;4
HAS_HOME_GROUND;7
PARTNERED_WITH;6
HAS_TRIBUTARY;9
NAMED_AFTER;12
IS_LOCATED_IN;18
OCCURRED_ON;5
TOOK_PLACE_IN;4
BROADCASTS;9
WORKS_FOR;2
HELD_POSITION;1
SET_IN;14
HAS_DEMAND;1
HAS_MEMBER_VILLAGE;13
HAS_ELECTION;1
ORGANIZES;7
DESCRIBED_BY;11
IS_CHARACTER_IN;10
HAS_AFFILIATION;6
PRODUCED;1
DESCRIBED_AS;6
HAS_PLATFORM;2
SUPPLIES;4
HAS_GENRE;4
HAS_LANGUAGE;1
HAS_COACH;9
HAS_BRANCHES;7
NARRATED_BY;2
OWNED_BY;9
HELD_IN;15
IS_PLAYED_IN;7
IS_A_PART_OF;1
ORIGINATES_FROM;14
CORRESPONDS_TO;1
HAS_CINEMATOGRAPHY;2
FLIES;2
AWARDED_TO;3
HAS_BIRTH_DATE;29
HAS_FIELD_OF_STUDY;7
HAS_BENEFIT;1
BUILT_BY;5
USED_AS_HEADQUARTERS;1
SOLD_TO;1
HAS_BUILDING_TYPE;1
MADE_OF;4
HAS_MOUNTAIN;3
NOMINATED_FOR;6
APPLIED_IN;1
RELATED_TO;3
HAS_ESTABLISHED_DATE;3
HAS_VALUE;4
TRANSLATES;2
WORKED_FOR;2
LEADS;4
HAS_DIRECTOR;3
HAS_RIVER;4
ORDERED_ON;2
LAID_DOWN_ON;2
LAUNCHED_ON;2
COMMISSIONED_ON;2
HAS_PRINCIPAL;1
HAS_STATISTIC;1
HAS_RELICS_OF;1
CELEBRATED_ON;1
IS_ENDEMIC_TO;1
STARRING;15
ESTABLISHED_ON;2
HELD_ON;5
MANAGED_BY;2
HAS_VICTIM;2
HAS_ORGANIZER;6
HAS_PROPOSAL;1
CRITICAL_OF;3
HAS_RANK;3
FEATURES_CHARACTER;2
IS_LOCATED_AT;5
HAS_REUNION;1
HAS_PURPOSE;3
ASSOCIATED_WITH;3
HAS_BOUNDARY;3
HAS_DEVICE;1
HAS_COMMUNE;23
MANUFACTURES;2
HAS_TOOL;1
PROVIDES_ADVICE;1
HAS_PART;4
IS_A;1
HAS_NICKNAME;1
HAS_GAUGE;1
FOUNDED_BY;7
RULED_FROM;1
HAS_ACHIEVEMENT;1
HAS_PEAK;5
ELECTED_TO;6
HAS_MATERIAL;3
HAS_LICENSE;3
CONTAINS;15
HAS_TITLE;13
FORMED_BY;7
REPRESENTS_DISTRICT;1
FOCUSES_ON;1
CAUSED_BY;2
HAS_MAYOR;1
HAS_AIRPORT;3
HAS_ROAD;2
HAS_TRANSPORTATION_STATION;6
HAS_BURIAL;5
HAS_TEAM;5
HAS_ATTRACTION;7
HAS_SURNAME;5
HAS_FAMILY;1
GENERATES_POWER;2
DEDICATED_TO;2
HAS_ALBUM;3
REPRESENTS;4
WON_CHAMPIONSHIP;8
WON_EVENT;11
SEQUEL_TO;3
COMPOSED_FOR;1
HAS_OWNER;1
HAS_SUBFAMILY;7
LISTED_IN;1
AUTHORED_BY;5
HAS_SUGAR_TYPE;1
HAS_LABEL;1
RELEASED_ON;10
RECORDED_BY;2
PERFORMED_BY;4
OPPOSED_BY;1
HAS_MEMORIAL;2
FEATURES;10
HAS_CONNECTION;3
FEEDS;2
HAS_UNIVERSITY;3
IS_A_COMMUNITY_IN;7
AFFECTED_LOCATION;1
HAS_CASUALTIES;1
DECLARED;1
SERVES;8
HAS_AIRING_PERIOD;1
HAS_BUDGET;3
PUBLISHED;2
HAS_IMPACT_FACTOR;1
NATIVE_TO;2
RACED_IN;1
HAS_FOUNDER;8
WRITTEN_BY;3
HAS_ABBREVIATION;2
HAS_RECORD_LABEL;2
RELEASED_AS_SINGLE;1
HAS_VIDEO;1
VOTES_IN;1
HAS_PUBLICATION;1
HAS_NAME;11
DIED_IN;1
HAS_CHILD;5
HAS_GRANDCHILD;4
HAS_AGE_AT_BIRTH;1
HAS_QUOTE;2
HAS_RAILWAY_STATION;5
HOSTS_EVENT;5
FORMS_GROUP;4
SPOKE;1
HAS_EXHIBIT;1
COMPOSED_BY;2
ENCODED_BY;5
HAS_MASS;1
HAS_RADIUS;1
HAS_LUMINOSITY;1
HAS_CLIMATE;2
COMMISSIONED_BY;1
HAS_COMPOSITION;3
BROADCASTED_ON;1
DESIGNED;9
HAS_ARTWORK;2
HAS_TARGET;1
HAS_PRECISION;1
HAS_RESPONSE_TIME;1
HAS_SIDE_EFFECT;1
REQUIRES;1
TARGETS;2
REPRESENTED_COUNTRY_IN_EVENT;1
NEGOTIATED_BY;1
DECLARED_WAR_ON;1
REJECTED;1
WORSHIPS;3
GOVERNED_BY;1
HAS_CAPTAIN;1
CREATED_WORK;10
REPLACED_BY;1
HAS_CONCEPT;1
RESIDES_IN;1
HAS_WEALTH;1
HAS_PARASITE;3
HAS_SOVEREIGN;2
PLAYS_POSITION;1
REPLACED;1
ACQUIRED_BY;3
HAS_SYNDROME;1
INVENTED_BY;1
ASSISTED_BY;1
HAS_DESCRIPTION;1
HAS_RESOURCE;1
HAS_STRUCTURE;1
REIGNED_FROM;1
BUILT_FOR;4
PREMIERED_AT;1
PART_OF_COLLECTION;1
HAS_ART_MOVEMENT;1
PUBLISHED_BY;1
WROTE;5
CREATED_IN;1
VENERATED_IN;1
HAS_SUBSPECIES;2
IS_OPPOSITE_OF;1
HAS_SERVICE;2
HAS_BIRTHPLACE;1
CROSSING;1
OFFERS_TOUR;1
PLAYS;1
HAS_PREVIOUS_NAME;2
RELEGATED_TO;1
PROMOTED_TO;2
