Relationship;Count
BORN_ON;252
BORN_IN;143
HAS_NATIONALITY;238
HAS_OCCUPATION;89
HAS_PARENT;14
DIED_ON;128
RESIDES_IN;15
ADDRESSED_TO;2
PARTICIPATED_IN;84
DENOUNCES;3
CONCERNED_WITH;10
OCCURRED_IN;65
OCCURS_ON;63
RECORDED_BY;13
WRITTEN_BY;22
FEATURED_IN;6
RELEASED_BY;23
LOCATED_IN;407
LISTED_ON;8
ESTABLISHED_IN;36
MEMBER_OF;24
CREATED;6
EXHIBITED_IN;2
PART_OF;244
WORKS_FOR;24
FOUNDED;8
AWARDED_AT;1
HAS_COUNTERPART;1
HAS_STYLE;4
DISBANDED_IN;14
OPERATES_IN;3
PLAYS_FOR;63
OFFERS_TOURS_ON;1
MARRIED_TO;11
CREATED_ART;2
PARTICIPATES_IN;132
ORIGINATED_IN;10
PERFORMED_BY;12
COMPOSED_OF;2
SYNTHESIZED_BY;4
SPANS;6
HAS_MEMORY_TYPE;1
FOUNDER_OF;4
WON_AWARD;18
REGULATED_BY;2
BASED_IN;20
ESTABLISHED_ON;9
BUILT_BY;7
LISTED_IN;19
BUILT_IN;8
DIRECTED_BY;36
STARS;17
DESIGNED_BY;20
PRODUCED_BY;42
SET_IN;6
FEATURES;77
EXISTED_IN;7
FEATURES_ARCHITECTURE;5
FOUNDED_BY;36
EPISODE_OF;2
AIRED_ON;14
RECEIVED_AWARD;2
HAS_FAMILY_MEMBER;16
CHARTED_ON;3
OWNED_BY;18
OPERATED_BY;9
HAS_FORMAT;7
BROADCASTS_IN;9
USES_TECHNIQUE;1
CREATES_PRESSURE;1
DEVELOPED_BY;4
AWARDED;2
INVITED_BY;4
AUTHORED_BY;8
ORGANIZED;8
HAS_DESCENT;13
SUPPLIED_BY;1
STARRED_IN;11
IS_PART_OF;33
REPRESENTED_IN;7
EXISTED_DURING;9
USES;13
SCALED_TO;1
SHOWS_RELATIONSHIP_OF;1
INVOLVED_IN;4
PRESIDED_OVER_BY;1
WORKS_AT;5
HELD_POSITION;6
ALUMNUS_OF;8
OCCURS_AT;15
WON_BY;17
OCCURS_IN;58
REGULATES;1
DISCOVERED_BY;1
DISCOVERED_IN;1
EXISTS_DURING;1
IS_SPECIES_OF;17
NATIVE_TO;49
DESCRIBED_IN;46
TREATED_BY;3
SPECIALIZES_IN;1
TRIBUTARY_OF;13
MANAGES;12
WORKED_FOR;7
WORKED_UNDER;1
BESTOWED_BY;2
HAS_WEBSITE;10
LOCATED_AT;15
RUNS_THROUGH;8
MADE_OF;4
TRAVERSES;10
PUBLISHED_BY;10
CREATED_BY;19
PROTECTS_AREA;4
INHABITS;14
CONTAINS;23
HAS_WINGSPAN;7
DESCRIBED_BY;34
DISTRIBUTED_BY;1
RELEASED_ON;19
RELEASED_IN;5
FOCUSES_ON;5
BROADCASTS_FROM;4
HAS_SURNAME;45
DIED_IN;2
WON;12
MANDATED_BY;1
NEAR;10
DEBUTED_ON;1
PART_OF_SERIES;3
HAS_HOME_GROUND;2
COLLABORATES_WITH;16
NAMED_AFTER;10
FOUNDED_BUSINESS;9
DECIDED_BY;1
FOUND_IN;6
STUDIED_AT;39
HELD_AT;4
HAS_MEMBER_VILLAGES;10
CONDUCTED_BY;3
ERECTED_BY;5
RELEASED_AS;1
AVAILABLE_ON;3
BELONGS_TO_GENRE;2
COACHES;6
