Relationship;Count
CHILD;15
HEAD;1
DIED_BY;1
RESIDENCE;15
FREQUENT_TRAVEL;1
ACTIVISM;1
BIRTH_PLACE;16
ADDRESSED_TO;3
CONTEXT;3
RELATED_TO;65
ACTION_OF;1
DEMANDED_AUTONOMY_FOR;1
GRIEVANCES_AGAINST;1
DEFENDED;1
APPOINTED_TO;1
PLAYED_FOR;93
RECORDED_BY;1
LEAD_SINGLE_FOR_ALBUM;1
REACHED_POSITION;4
CERTIFIED_BY;1
WRITTEN_BY;15
MUSIC_VIDEO_FILMED_AT;1
RELEASED_BY;15
BURIAL;2
HEAD_OF;1
ACTIVIST_WORK_CONTINUATION;1
PROVOKED_REACTION_FROM;1
DEFENDED_ACTIONS_OF;1
LEAD_SINGLE;1
CERTIFIED;1
LISTED_IN;16
BURIAL_SITE_FOR;2
CREATED;9
INCLUDED_IN;7
MEMBER_OF;88
PARTICIPATED_IN;76
BIRTHPLACE;32
PROFESSOR;15
CHIEF;3
MEDICAL_DIRECTOR;1
HOLDS_CHAIR;1
INDEPENDENT_FACULTY;1
ASSOCIATE_MEMBER;1
FOUNDER;32
STEERING_COMMITTEE_CHAIR;1
COLONEL;1
COMMANDER;2
PARTICIPANT;63
RECIPIENT;13
GRADUATE;2
AWARDED_BEST_FILMS_OF;1
TOOK_PLACE_ON;1
TOOK_PLACE_AT;1
LOCATED_IN;192
FEMININE_FORM;1
HAS_SURNAME;47
FORM_OF;2
IMAGES;1
SELLS;4
OWNS;9
PLAYS_FOR;42
PLAYS_AS;4
DEBUTED_IN;1
ACTED_IN;35
STAGE;1
WEBSITE;1
SUBSIDIARY;2
OFFERS_TOURS;1
SPOUSE;10
SUBJECT_OF;5
BORN_IN;26
MOVED_TO;12
SAME_AS;2
COMPETES_IN;6
JOINED;6
PROMOTED_TO;9
FINISHED_AHEAD_OF;1
TOP_QUALIFIER;1
MEMBER;111
DEBUT_ALBUM;1
NAMED_AFTER;10
CONTAINS;26
SUBSTITUTED_WITH;2
BYPRODUCT_OF;1
PRODUCED_FROM;1
ALUMNI;53
GOVERNS;2
FUNCTIONALLY_CONNECTED;1
PRESIDENT;22
FRIEND;1
FAMILY;5
OWNER;6
DIRECTOR;35
ALDERMAN;1
WORKED_IN;8
PURCHASED;3
HIRED;4
SOLD_SHARES;1
QUALIFIED;2
BOYCOTTED_BY_FANS;1
COLLEAGUE;1
RELATIVE;3
GOVERNOR;3
INVADED;1
KILLED_BY;2
TRAVELED_TO;2
INITIATED;1
ACCOMPANIED;1
STUDENT_OF;8
ALUMNUS_OF;6
STUDIED_IN;1
TEACHER_OF;4
CO_FOUNDER_OF;1
WINNER_OF;1
CENSORED;1
COMPOSED;2
INTRODUCED_BY;2
EXISTS_IN_CONTEXT_OF;1
EXISTS_BETWEEN;2
INCLUDES;85
SATELLITE_LOCALITY;1
BUILT;3
REPRESENTED;23
STAR;18
BASED_ON;8
PRODUCED_BY;16
FILMED_AT;1
ART_DIRECTOR;2
SCORED_BY;3
USED_FOR;4
TEST_CRICKET_MATCH_PLAYED;1
PLAYED_SINCE;1
FIRST_MATCH_PLAYED;1
FIVE-WICKET_HAUL;1
EDUCATED_AT;18
SPECIALIZED_IN;3
STUDIED;3
AWARDED_BY;1
HAS_STYLE;3
DEFENSE;1
ORDERED_BY;1
GARRISONED_BY;1
WROTE_ABOUT;2
RETURNED_FROM;1
RIDES_FOR;1
CLEARED_OF_DOPING_CHARGES;1
DIRECTED_BY;12
BECAME;1
TRIED_TO_ARREST;2
NOMINATED_FOR;5
FEATURED;7
HAS_OCCUPATION;29
NATIONALITY;10
FIRST_HIERARCH;1
SIBLING;8
PARTICIPATES_IN;9
PERFORMER;2
CHARTED;1
RANKED;1
WRITER;9
OWNED_BY;15
OPERATED_BY;6
ALTERNATIVE_TO;2
FORMED_BY_COMPRESSING;1
PUMPED_INTO;1
RELEASES;1
MORE_EXPENSIVE_THAN;1
DEVELOPED;8
IN_USE_SINCE;1
IN_USE_IN;8
DESIGNED_AND_BUILT_BY;1
CATEGORIZED_AS;1
GREW_UP_IN;1
STATIONED_IN;1
STUDIED_UNDER;1
RETURNED_TO;1
WON;27
PART_OF;125
HELD_AT;7
RIDDEN_BY;2
HONORED_BY;1
HONORED_AT;1
HONORARY_VICE_PRESIDENT;1
INVITED_BY;2
AUTHORED;2
PUBLISHED_ON;1
LIVES_IN;2
LIVED_NEAR;1
CHAMPION;3
BIRTH_YEAR;2
FROM;8
RIDER;4
ORIGINATED;1
ESTABLISHED_DURING;1
DESIGNED_BY;8
SERVED_AS_MAIN_PRISON_FOR;1
SUPPLIED_BY;1
AIRED_ON;6
STARS;22
REPLACED;4
RENAMED_TO;3
REPRESENTED_IN;4
IS_A_TYPE_OF;1
MENTIONED_IN;5
PUBLISHER;9
SUED;2
RULED_IN_FAVOR;1
RULED_AGAINST;1
JUDGE;4
CO-OWNER;2
PROMOTED;3
CHILD_OF;11
WON_TOURNAMENT_WITH;1
FACULTY;15
FORMER_DEAN;2
FORMER_PLAYER;12
KNOWN_AS;4
WON_BY;1
BROADCAST_BY;1
COMMENTATOR;4
OCCURRED_IN;10
PROVIDES_OVERSIGHT;1
COMPETED_IN;18
DISCOVERED_BY;2
DISCOVERED_IN;1
PART_OF_COLLECTION;1
ENDEMIC_TO;4
BELONGS_TO;40
EFFECT_OF;6
REQUIRES;2
HISTORY;2
ESTABLISHED_BREWERY;1
DURING;2
FORMED;3
NOW_KNOWN_AS;1
CONSTRUCTED_BREWERY;2
NATIONALIZED_FROM;1
DEVELOPED_IN;2
CONFLUENCE;2
DISTANCE;9
OCCUPIED;3
MURDERED;1
ORGANIZED_IN;1
COMPETED_AT;6
CEO;2
DEPUTY_UNDER_SECRETARY;1
SERVED_UNDER;3
ADMINISTERED_BY;4
LOCATION;37
LIES_ON;1
ADJACENT_TO;1
CLASSIFIED_BY;1
MADE_IN;2
GEOGRAPHICAL_INDICATION;1
PASSES_THROUGH;10
FOUGHT;1
BOMBED;1
CITED_IN;2
AUTHOR;41
POSSIBLE_CONFUSION_WITH;1
